Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_01	q_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-2875.58	-2858.58	-16.9997	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.187796	0.2626322	8.597907	1.470424	0.410567	0.0105636	0.0157874	0.952655	0.020994	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0972753
1	-2876.63	-2858.92	-17.7138	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.1174	0.2626322	8.597907	1.470424	0.410567	0.0118409	0.045318	0.682743	0.260098	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.204691
2	-2876.81	-2858.88	-17.9365	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.30149	0.2626322	8.597907	1.470424	0.410567	0.0112916	0.0432159	0.710117	0.235375	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.204691
3	-2876.58	-2858.61	-17.9712	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.30149	0.2626322	8.597907	1.470424	0.410567	0.0128846	0.0493128	0.925359	0.0124439	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
4	-2877.21	-2858.61	-18.5928	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.71379	0.2626322	8.597907	1.470424	0.410567	0.0128846	0.0493128	0.925359	0.0124439	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
5	-2877.51	-2858.92	-18.5928	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.71379	0.2626322	8.597907	1.470424	0.410567	0.0682739	0.185969	0.679819	0.0659386	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
6	-2877.3	-2859.44	-17.8581	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.21147	0.2626322	8.597907	1.470424	0.410567	0.127047	0.346058	0.404194	0.122701	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
7	-2879.21	-2859.5	-19.7173	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-2.27731	0.2626322	8.597907	1.470424	0.410567	0.164048	0.156489	0.38299	0.296473	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
8	-2878.91	-2859.62	-19.2812	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-2.077	0.2626322	8.597907	1.470424	0.410567	0.32094	0.137585	0.336726	0.204749	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.239433
9	-2878.54	-2859.94	-18.5969	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.81554	0.2626322	8.597907	1.470424	0.410567	0.233644	0.372162	0.245137	0.149057	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.063965
10	-2879.81	-2860.12	-19.6961	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.81554	0.2626322	8.597907	1.470424	0.410567	0.327981	0.266072	0.205802	0.200145	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.16312
11	-2878.75	-2860.29	-18.4595	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.907242	0.2626322	8.597907	1.470424	0.410567	0.433704	0.224213	0.173425	0.168658	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.16312
12	-2877.13	-2859.08	-18.0501	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.06559	0.2626322	8.597907	1.470424	0.410567	0.221531	0.114525	0.577796	0.0861485	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.16312
13	-2876.62	-2859.6	-17.0196	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.06559	0.2626322	8.597907	1.470424	0.410567	0.378007	0.0685522	0.345855	0.207586	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.132664
14	-2876.62	-2859.6	-17.0196	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.06559	0.2626322	8.597907	1.470424	0.410567	0.378007	0.0685522	0.345855	0.207586	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.132664
15	-2875.78	-2858.76	-17.0196	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.06559	0.2626322	8.597907	1.470424	0.410567	0.0857891	0.0667745	0.795506	0.0519302	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.132664
16	-2876.25	-2859.23	-17.0196	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.06559	0.2626322	8.597907	1.470424	0.410567	0.428205	0.0417643	0.497551	0.0324799	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.132664
17	-2876.25	-2859.23	-17.0196	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.06559	0.2626322	8.597907	1.470424	0.410567	0.428205	0.0417643	0.497551	0.0324799	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.132664
18	-2876.42	-2859.21	-17.2128	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.624977	0.2626322	8.597907	1.470424	0.410567	0.446325	0.0234603	0.511969	0.0182449	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.132664
19	-2876.31	-2859.18	-17.1275	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.624977	0.2626322	8.597907	1.470424	0.410567	0.438802	0.0200374	0.523223	0.0179374	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0474089
20	-2876.68	-2859.36	-17.3223	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.923821	0.2626322	8.597907	1.470424	0.410567	0.367165	0.0826105	0.437804	0.11242	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0107675
21	-2877.08	-2859.34	-17.7434	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.3101	0.2626322	8.597907	1.470424	0.410567	0.350343	0.0848065	0.449442	0.115409	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.00035298
22	-2877.73	-2859.95	-17.7824	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.33281	0.2626322	8.597907	1.470424	0.410567	0.363618	0.0872193	0.242928	0.306235	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.00934295
23	-2876.87	-2859.96	-16.916	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.164844	0.2626322	8.597907	1.470424	0.410567	0.364134	0.0873432	0.241853	0.30667	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0176115
24	-2877.99	-2859.96	-18.0389	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.51721	0.2626322	8.597907	1.470424	0.410567	0.364134	0.0873432	0.241853	0.30667	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.00311028
25	-2876.19	-2859.17	-17.0201	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.492261	0.2626322	8.597907	1.470424	0.410567	0.179965	0.192055	0.531798	0.0961818	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0141443
26	-2876.48	-2859.49	-16.9932	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.453611	0.2626322	8.597907	1.470424	0.410567	0.236334	0.25221	0.385148	0.126308	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0055315
27	-2876.63	-2859.6	-17.03	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.453611	0.2626322	8.597907	1.470424	0.410567	0.212714	0.408345	0.346655	0.0322862	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0423172
28	-2876.85	-2859.82	-17.03	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.453611	0.2626322	8.597907	1.470424	0.410567	0.169898	0.481805	0.276878	0.0714188	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0423172
29	-2876.9	-2859.87	-17.03	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.453611	0.2626322	8.597907	1.470424	0.410567	0.161738	0.458667	0.263581	0.116013	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0423172
30	-2876.95	-2859.92	-17.03	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.453611	0.2626322	8.597907	1.470424	0.410567	0.165114	0.43732	0.251314	0.146251	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0423172
31	-2877.58	-2859.11	-18.4768	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.70747	0.2626322	8.597907	1.470424	0.410567	0.101078	0.267716	0.56518	0.0660251	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.134212
32	-2877.76	-2859.14	-18.6124	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.78511	0.2626322	8.597907	1.470424	0.410567	0.134679	0.257709	0.544054	0.0635572	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.134212
33	-2877.56	-2858.95	-18.6124	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.78511	0.2626322	8.597907	1.470424	0.410567	0.164356	0.0941432	0.663938	0.0775622	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.134212
34	-2878.97	-2859.22	-19.7433	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.78511	0.2626322	8.597907	1.470424	0.410567	0.189162	0.168705	0.503142	0.138991	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.26515
35	-2877.39	-2859.24	-18.1456	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.790022	0.2626322	8.597907	1.470424	0.410567	0.262624	0.134409	0.49223	0.110737	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.94865
36	-2877.14	-2859.68	-17.4563	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.790022	0.2626322	8.597907	1.470424	0.410567	0.294197	0.213128	0.317085	0.175591	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.259368
37	-2878.92	-2859.68	-19.2342	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.753012	0.2626322	8.597907	1.470424	0.410567	0.294197	0.213128	0.317085	0.175591	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	2.0659
38	-2877.15	-2859.66	-17.4889	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.753012	0.2626322	8.597907	1.470424	0.410567	0.290564	0.210496	0.325518	0.173422	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.320546
39	-2879.29	-2859.72	-19.5717	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.73848	0.2626322	8.597907	1.470424	0.410567	0.273562	0.256692	0.306471	0.163275	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.17572
40	-2879.28	-2859.4	-19.8848	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.91188	0.2626322	8.597907	1.470424	0.410567	0.0619681	0.33989	0.421916	0.176226	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.17234
41	-2885.1	-2859.4	-25.701	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.91188	0.2626322	8.597907	1.470424	0.410567	0.0619681	0.33989	0.421916	0.176226	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	6.98852
42	-2876.91	-2859.33	-17.5863	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.808008	0.2626322	8.597907	1.470424	0.410567	0.113731	0.275916	0.453587	0.156766	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.375037
43	-2877.13	-2859.17	-17.9637	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.42403	0.2626322	8.597907	1.470424	0.410567	0.0455413	0.110485	0.530658	0.313315	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0649043
44	-2876.54	-2859.31	-17.2338	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.753749	0.2626322	8.597907	1.470424	0.410567	0.052145	0.126506	0.462601	0.358748	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0649043
45	-2876.08	-2858.84	-17.2338	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.753749	0.2626322	8.597907	1.470424	0.410567	0.0301209	0.0266208	0.736032	0.207226	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0649043
46	-2876.53	-2859.3	-17.2338	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.753749	0.2626322	8.597907	1.470424	0.410567	0.0607707	0.053709	0.46743	0.418091	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0649043
47	-2878.41	-2859.3	-19.113	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-2.08991	0.2626322	8.597907	1.470424	0.410567	0.0607707	0.053709	0.46743	0.418091	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0443068
48	-2876.44	-2859.3	-17.1453	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.271304	0.2626322	8.597907	1.470424	0.410567	0.0607707	0.053709	0.46743	0.418091	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.223697
49	-2877.18	-2860.03	-17.1453	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.271304	0.2626322	8.597907	1.470424	0.410567	0.0573565	0.33347	0.22436	0.384813	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.223697
50	-2877.95	-2859.76	-18.1904	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.271304	0.2626322	8.597907	1.470424	0.410567	0.0522986	0.304063	0.292759	0.350879	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.26873
51	-2878	-2859.15	-18.8489	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.17929	0.2626322	8.597907	1.470424	0.410567	0.0859361	0.0423627	0.539549	0.332152	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.26873
52	-2878.18	-2859.33	-18.8489	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.17929	0.2626322	8.597907	1.470424	0.410567	0.10194	0.050252	0.453799	0.394009	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.26873
53	-2880.59	-2859.36	-21.2298	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-2.70574	0.2626322	8.597907	1.470424	0.410567	0.0749292	0.198073	0.437388	0.289609	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.684462
54	-2880.15	-2859.63	-20.5227	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.69762	0.2626322	8.597907	1.470424	0.410567	0.0901376	0.27143	0.335532	0.302901	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	2.19688
55	-2879.6	-2859.61	-19.9926	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.34969	0.2626322	8.597907	1.470424	0.410567	0.091657	0.259149	0.341188	0.308007	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	2.19688
56	-2878.29	-2859.61	-18.6739	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.514003	0.2626322	8.597907	1.470424	0.410567	0.091657	0.259149	0.341188	0.308007	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.65697
57	-2878.69	-2859.49	-19.1985	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.683215	0.2626322	8.597907	1.470424	0.410567	0.145956	0.412673	0.383672	0.0576986	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	2.08024
58	-2878.05	-2859.31	-18.7302	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.683215	0.2626322	8.597907	1.470424	0.410567	0.143084	0.341462	0.458891	0.0565632	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.61198
59	-2879.04	-2859.88	-19.1614	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.0835011	0.2626322	8.597907	1.470424	0.410567	0.308666	0.326042	0.261756	0.103536	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	2.2731
60	-2877.18	-2859.42	-17.7632	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.08237	0.2626322	8.597907	1.470424	0.410567	0.243841	0.172306	0.412508	0.171346	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.292557
61	-2879.16	-2860.82	-18.3365	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.08237	0.2626322	8.597907	1.470424	0.410567	0.245894	0.404488	0.101786	0.247832	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.865894
62	-2878.16	-2860.36	-17.7963	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.301929	0.2626322	8.597907	1.470424	0.410567	0.388936	0.0580649	0.160997	0.392002	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.865894
63	-2878.28	-2860.36	-17.9145	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.572347	0.2626322	8.597907	1.470424	0.410567	0.388936	0.0580649	0.160997	0.392002	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.865894
64	-2877.78	-2859.1	-18.6755	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.35998	0.2626322	8.597907	1.470424	0.410567	0.259742	0.0222379	0.56789	0.15013	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.865894
65	-2877.35	-2858.69	-18.6636	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.47694	0.2626322	8.597907	1.470424	0.410567	0.077727	0.0167184	0.860628	0.0449261	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.68807
66	-2877.35	-2858.68	-18.6636	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.47694	0.2626322	8.597907	1.470424	0.410567	0.0779267	0.0167613	0.862839	0.0424726	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.68807
67	-2876.91	-2858.76	-18.1441	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.47694	0.2626322	8.597907	1.470424	0.410567	0.0718801	0.0930545	0.795888	0.039177	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.168584
68	-2877.03	-2858.88	-18.1441	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.47694	0.2626322	8.597907	1.470424	0.410567	0.136953	0.109272	0.70777	0.0460048	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.168584
69	-2876.15	-2858.8	-17.3449	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.763546	0.2626322	8.597907	1.470424	0.410567	0.148403	0.0348022	0.766944	0.049851	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.168584
70	-2878.12	-2860.13	-17.9833	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	0.538827	0.2626322	8.597907	1.470424	0.410567	0.16822	0.390884	0.202174	0.238722	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.953298
71	-2876.85	-2858.7	-18.1517	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.791946	0.2626322	8.597907	1.470424	0.410567	0.0603318	0.00686676	0.847184	0.085617	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.953298
72	-2877.9	-2859.38	-18.5173	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.16547	0.2626322	8.597907	1.470424	0.410567	0.448499	0.0510466	0.429217	0.0712376	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.953298
73	-2877.8	-2859.29	-18.5173	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.16547	0.2626322	8.597907	1.470424	0.410567	0.453885	0.00198508	0.472037	0.072093	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.953298
74	-2876.71	-2858.82	-17.8845	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.16547	0.2626322	8.597907	1.470424	0.410567	0.0864842	0.0498043	0.749277	0.114435	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.320518
75	-2876.56	-2858.82	-17.7382	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.08102	0.2626322	8.597907	1.470424	0.410567	0.0864842	0.0498043	0.749277	0.114435	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.269046
76	-2877.03	-2859.29	-17.7382	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	1.08102	0.2626322	8.597907	1.470424	0.410567	0.0541478	0.0311825	0.469122	0.445547	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.269046
77	-2877.6	-2858.8	-18.797	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.67122	0.2626322	8.597907	1.470424	0.410567	0.0886132	0.0510303	0.767722	0.0926347	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.515673
78	-2878.86	-2860.1	-18.7637	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.67122	0.2626322	8.597907	1.470424	0.410567	0.038694	0.711566	0.20929	0.04045	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.482363
79	-2878.81	-2859.77	-19.0445	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-1.67122	0.2626322	8.597907	1.470424	0.410567	0.0225497	0.414679	0.291714	0.271058	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.763216
80	-2876.94	-2859.77	-17.1667	1.57598	1.62537	1.6455	1.69707	0.454876	0.485737	0.0431686	-0.178625	0.2626322	8.597907	1.470424	0.410567	0.2451	0.413025	0.290551	0.0513237	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.265929
81	-2880.34	-2863.18	-17.1667	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	-0.178625	0.2626322	8.597907	1.470424	0.410567	0.244251	0.411594	0.289543	0.0546125	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.265929
82	-2882.14	-2862.32	-19.8231	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	-0.372587	0.2626322	8.597907	1.470424	0.410567	0.188251	0.0518975	0.681951	0.0779002	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	2.86885
83	-2880.96	-2863.09	-17.8744	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	-1.12886	0.2626322	8.597907	1.470424	0.410567	0.497979	0.0240584	0.316135	0.161827	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.352377
84	-2881.43	-2863.56	-17.8744	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	-1.12886	0.2626322	8.597907	1.470424	0.410567	0.443792	0.00280168	0.198054	0.355352	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.352377
85	-2881.68	-2863.66	-18.0215	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	-1.12886	0.2626322	8.597907	1.470424	0.410567	0.467096	0.00252809	0.178713	0.351663	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.499519
86	-2882.37	-2863.62	-18.7467	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	1.45541	0.2626322	8.597907	1.470424	0.410567	0.485508	0.00262774	0.185758	0.326106	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.802776
87	-2881.89	-2862.85	-19.0403	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	1.45541	0.2626322	8.597907	1.470424	0.410567	0.0648092	0.0683552	0.4004	0.466435	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	1.09631
88	-2881.95	-2862.46	-19.4882	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	-2.06089	0.2626322	8.597907	1.470424	0.410567	0.0960622	0.0686385	0.594173	0.241126	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.479735
89	-2879.47	-2862.56	-16.9068	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	0.00810039	0.2626322	8.597907	1.470424	0.410567	0.236819	0.0128532	0.53373	0.216597	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0218917
90	-2879.87	-2862.87	-17.0016	1.57597	1.62537	1.6455	1.69707	0.454873	0.485737	0.0431686	0.437941	0.2626322	8.597907	1.470424	0.410567	0.536624	0.00393784	0.393079	0.0663587	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.0208264
91	-2889.34	-2866.56	-22.7788	1.57597	1.62537	1.64544	1.69702	0.454873	0.485737	0.0431358	1.61331	0.2626322	8.597907	1.470424	0.410567	0.536624	0.00393784	0.393079	0.0663587	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	4.59259
92	-2889.19	-2867.61	-21.5774	1.57597	1.62537	1.64544	1.69702	0.454873	0.485737	0.0431358	0.446307	0.262613	8.598591	1.470424	0.4104604	0.483656	0.00438796	0.438012	0.0739441	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	4.59259
93	-2886.09	-2868.29	-17.8034	1.57597	1.6257	1.64544	1.69736	0.454873	0.485937	0.0431358	0.195596	0.262613	8.598591	1.470424	0.4104604	0.655512	0.00479902	0.258818	0.080871	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.899306
94	-2885.01	-2867.21	-17.8034	1.57597	1.6257	1.64544	1.69736	0.454873	0.485937	0.0431358	0.195596	0.262613	8.598591	1.470424	0.4104604	0.208337	0.00152524	0.764436	0.0257026	2.88503	1.7237	25.4525	15.2069	1.05954	0.544471	2.17728	0.899306
